variable	mean	median	sd	mad	q5	q95	rhat	ess_bulk	ess_tail	hap	q2.5	q97.5
growth_rate[231]	1.76319735125	1.76399	0.035345136605081	0.03447045	1.7040755	1.818531	1.00026610959287	3138.74957168703	5152.60417590402	hap_temp_951	1.69035975	1.82925275
growth_rate[228]	1.73628011375	1.740945	0.04443027614622	0.041423844	1.654111	1.8005415	1.00043826273258	4549.96889225023	5628.38775148572	hap_temp_1446	1.63474875	1.810382
growth_rate[39]	1.73513084875	1.73525	0.019216767477548	0.019118127	1.7040085	1.7672205	1.00205641474387	2199.60817105991	4023.72105399605	hap_temp_1449	1.69804975	1.7726305
growth_rate[123]	1.70554428375	1.70434	0.032097163153421	0.031779531	1.6556595	1.760343	1.0012966733485	4045.71371503635	5694.55299954041	hap_temp_1792	1.64700925	1.773381
growth_rate[110]	1.70190564125	1.700395	0.027561227002222	0.027198297	1.659099	1.7493215	1.00158078557893	3765.45400995092	5853.20009245855	hap_temp_1442	1.65216875	1.7603805
growth_rate[44]	1.6512674375	1.65103	0.015206194914543	0.015433866	1.6264995	1.6765815	1.00338277178679	1650.73560294583	3766.44777631382	hap_temp_1441	1.6221095	1.68163
growth_rate[241]	1.6506497	1.64867	0.031140157250072	0.029162742	1.603409	1.7040615	1.00091803848417	4356.14135931477	5666.08207538003	hap_temp_1436	1.59499825	1.717853
growth_rate[210]	1.6470524325	1.646115	0.037001321249446	0.037027935	1.58691	1.7087525	1.00036844507776	4058.23437694646	5919.703809314	hap_temp_1789	1.57610875	1.721223
growth_rate[217]	1.60555014	1.602895	0.032230588997314	0.030593451	1.5574025	1.662371	1.00130879540952	2729.14083422031	4872.82319468844	hap_temp_2560	1.549239	1.673761
growth_rate[146]	1.59446427125	1.592525	0.026061424850286	0.025789827	1.554969	1.63988	1.00130624487351	3371.91695671343	5443.68576177661	hap_temp_1141	1.54874975	1.649921
growth_rate[103]	1.5720670725	1.57204	0.016121965234584	0.016293774	1.546008	1.5988225	1.00250640249734	1874.08475863415	4834.21881924232	hap_temp_1896	1.54184975	1.6043
growth_rate[156]	1.56732510125	1.56669	0.021554486711632	0.021727503	1.5332085	1.6041035	1.00061353716383	2688.07927615884	5121.96795119321	hap_temp_1822	1.527268	1.61153025
growth_rate[98]	1.56566176	1.56529	0.015552136937502	0.015189237	1.5410995	1.592181	1.00144813525232	1767.63024681068	4093.8097521169	hap_temp_1324	1.53609975	1.59777025
growth_rate[193]	1.55950426625	1.559245	0.020647965592208	0.020600727	1.525849	1.5941105	1.00138207804903	2511.52600346525	4912.31445316227	hap_temp_1756	1.52017975	1.60096025
growth_rate[172]	1.52655097375	1.52556	0.019389449572091	0.019244148	1.49613	1.5600905	1.00073843070788	2549.7261961009	3846.28925421982	hap_temp_1776	1.49038825	1.5669005
growth_rate[11]	1.5002166325	1.50013	0.007614427476716	0.007605738	1.4879495	1.5128505	1.00845959188346	510.156664198108	1115.36335742948	hap_temp_1140	1.485349	1.51534075
growth_rate[101]	1.49758684875	1.49732	0.011326643826159	0.011223282	1.4792895	1.516582	1.00463871414772	1054.93758961017	2877.170633712	hap_temp_1523	1.47600875	1.5203
growth_rate[192]	1.49712528625	1.496475	0.015741743976796	0.015500583	1.472449	1.523944	1.00217739122782	1737.64241343798	3725.09496667236	hap_temp_1380	1.46792875	1.52926025
growth_rate[132]	1.49112073125	1.491035	0.012555767871426	0.012490905	1.4706895	1.5117305	1.00338086054184	1238.54485381619	2981.2444531117	hap_temp_1160	1.46712875	1.51597025
growth_rate[141]	1.48499707	1.48488	0.011553909373793	0.011349303	1.466578	1.5043805	1.00204738270718	1239.9714395137	2700.11630666929	hap_temp_810	1.4629095	1.50826025
growth_rate[107]	1.4830273825	1.48295	0.010523371107498	0.0103782	1.465739	1.5004705	1.00323020118471	1005.08192865589	2563.96379998724	hap_temp_800	1.46212975	1.50392025
growth_rate[106]	1.4810600125	1.48099	0.010821031663646	0.010785915	1.46338	1.4989205	1.0037423876928	1039.32308528631	2740.36555307904	hap_temp_1073	1.4604695	1.50258075
growth_rate[95]	1.47591867875	1.476	0.01010826656373	0.010326309	1.4594095	1.492001	1.00395355304975	893.168369477958	2455.81060945786	hap_temp_1129	1.45591	1.49551
growth_rate[53]	1.4707048825	1.470605	0.008928747699321	0.008762166	1.4559595	1.4855705	1.00688467446267	705.075232577192	1824.57466274482	hap_temp_1173	1.45343925	1.48868
growth_rate[152]	1.467712025	1.46759	0.01241907898315	0.012350058	1.4478495	1.4883305	1.00200642924644	1317.99874630524	3186.86389412393	hap_temp_1157	1.44431	1.49262175
growth_rate[219]	1.46183766	1.46186	0.01378312302272	0.013699224	1.4391885	1.48466	1.00201040563784	1624.24065859318	3682.29543091528	hap_temp_1137	1.435118	1.488901
growth_rate[177]	1.46167195875	1.46151	0.013129153099436	0.013135836	1.439849	1.48329	1.00147785578689	1345.69748439054	2993.76812536798	hap_temp_1125	1.43628	1.48758175
growth_rate[186]	1.4578223925	1.45774	0.013045214719556	0.013313748	1.4365495	1.479431	1.00216281051343	1442.84381872635	2987.38171531517	hap_temp_798	1.4327495	1.48353175
growth_rate[99]	1.4548383	1.45486	0.00972015621606	0.00971103	1.4390495	1.4708005	1.00301413216295	866.366508305982	2069.68766703022	hap_temp_1426	1.43593975	1.4741105
growth_rate[139]	1.45468168625	1.45465	0.011229280962641	0.011149152	1.4366995	1.4735905	1.0034188521087	1103.71023526539	2923.99970850778	hap_temp_1472	1.4331195	1.47725175
growth_rate[102]	1.43336455875	1.43328	0.009221922420891	0.00904386	1.41826	1.4487615	1.00519049453	778.826863960101	2184.63758511015	hap_temp_1085	1.41532	1.4516705
growth_rate[145]	1.432177225	1.43223	0.010710471529042	0.010719198	1.4144185	1.4498805	1.00433130863474	1083.93757217126	2647.89310362077	hap_temp_1752	1.41126	1.4529705
growth_rate[69]	1.430748905	1.43077	0.008551846638948	0.008532363	1.416309	1.444691	1.00793575757246	698.634173146141	1770.80984925901	hap_temp_1294	1.41391	1.44728025
growth_rate[200]	1.4269914975	1.42696	0.012619283742462	0.012431601	1.4064795	1.4480205	1.00266144230778	1374.74352920927	3408.22102342624	hap_temp_1065	1.401939	1.45169025
growth_rate[178]	1.42366582125	1.423715	0.012360469061689	0.012364884	1.4034795	1.4441205	1.00401199196246	1331.51395297232	3272.76882677185	hap_temp_2108	1.39943925	1.44803
growth_rate[171]	1.41975574	1.419745	0.011422934826804	0.011364129	1.401659	1.4386605	1.00182281852412	1266.88973497897	2765.89726143985	hap_temp_871	1.397929	1.44249075
growth_rate[137]	1.4190992975	1.41909	0.010401772888138	0.010481982	1.40238	1.43642	1.00432852464578	995.910943855776	2572.70818890002	hap_temp_1496	1.39899925	1.43966175
growth_rate[203]	1.41829828875	1.41825	0.012665038608686	0.01267623	1.3978895	1.4392715	1.0032145248749	1416.98384825619	3826.02248928139	hap_temp_875	1.39368	1.44408
growth_rate[206]	1.4182482075	1.41818	0.012889672101834	0.012698469	1.397369	1.4398115	1.00371327962833	1282.6067384315	3308.36842958159	hap_temp_866	1.3933095	1.4443
growth_rate[233]	1.4175664425	1.41755	0.014924494860381	0.014959434	1.3932095	1.442011	1.00123597247306	1999.39828056451	3687.50151123158	hap_temp_2068	1.38885	1.4471205
growth_rate[215]	1.41170904625	1.41175	0.013015316887693	0.012928272	1.3901785	1.4331	1.00295749832738	1428.92047683615	3311.33599353612	hap_temp_2634	1.3860495	1.437361
growth_rate[220]	1.40905658875	1.40886	0.01378889861053	0.013699224	1.3863	1.4319605	1.00223261299463	1579.27974802031	3857.02759234368	hap_temp_1575	1.38219725	1.43589025
growth_rate[21]	1.40840631625	1.40838	0.007053579975182	0.007101654	1.3967595	1.42008	1.00787930831167	502.234063356421	1239.1568439979	hap_temp_1292	1.3947095	1.42232
growth_rate[174]	1.40756686375	1.40765	0.012075670541581	0.01208319	1.38754	1.4275635	1.00267665468067	1415.02824217331	3017.79199173905	hap_temp_1120	1.383909	1.43107
growth_rate[195]	1.404739325	1.40479	0.012262867750247	0.012127668	1.3843775	1.4248015	1.00331166156312	1212.78946759821	3143.84466640723	hap_temp_2655	1.38070925	1.42874025
growth_rate[111]	1.40447686125	1.40449	0.009387807030977	0.009473814	1.3892995	1.4200305	1.00534732372283	852.241987220755	2089.77115728761	hap_temp_1145	1.38628	1.422981
growth_rate[235]	1.4017055775	1.401715	0.013117210526366	0.013039467	1.37966	1.4232105	1.00369680228622	1703.62159415129	3905.02570595902	hap_temp_1016	1.3757995	1.4275215
growth_rate[187]	1.40059587125	1.40049	0.012367222833603	0.012335232	1.38036	1.4208915	1.00253952975884	1308.52148682082	3566.086320425	hap_temp_1093	1.37637775	1.42501
growth_rate[144]	1.40025407625	1.40023	0.010330109644498	0.010430091	1.38327	1.41723	1.00534617844203	970.087464649481	2431.78968823433	hap_temp_1806	1.37991975	1.42025075
growth_rate[209]	1.3958081525	1.39573	0.012183681261133	0.011971995	1.376039	1.41614	1.00311758560541	1418.55648464276	3353.41427326241	hap_temp_2637	1.37214875	1.42007
growth_rate[27]	1.39414620875	1.39413	0.007262842478949	0.007353696	1.3823995	1.4062105	1.00734525420103	529.589893767465	1288.14789557198	hap_temp_2650	1.38011	1.40837025
growth_rate[133]	1.39316433125	1.39317	0.010195247484082	0.010200288	1.3763595	1.409862	1.00312815249652	1018.41925436681	2235.91982178221	hap_temp_1592	1.37333	1.41318
growth_rate[31]	1.3913457275	1.39122	0.007260216435381	0.007160958	1.3795595	1.4034405	1.00721703795652	533.621945892448	1209.49275642475	hap_temp_1066	1.3772695	1.40585
