tip_Id	Id
1	EPI_ISL_14240087
2	EPI_ISL_15139180
3	EPI_ISL_15046829
4	EPI_ISL_15155470
5	EPI_ISL_14235963
6	EPI_ISL_14951299
7	EPI_ISL_14892445
8	EPI_ISL_14389955
9	EPI_ISL_15186214
10	EPI_ISL_14709854
11	EPI_ISL_14896204
12	EPI_ISL_15179073
13	EPI_ISL_14952993
14	EPI_ISL_15135924
15	EPI_ISL_14898154
16	EPI_ISL_13976680
17	EPI_ISL_15110867
18	EPI_ISL_14172249
19	EPI_ISL_14494248
20	EPI_ISL_14572234
21	EPI_ISL_14807892
22	EPI_ISL_14939153
23	EPI_ISL_14914072
24	EPI_ISL_14914147
25	EPI_ISL_14850714
26	EPI_ISL_15128029
27	EPI_ISL_14898699
28	EPI_ISL_14808743
29	EPI_ISL_15071473
30	EPI_ISL_15054574
31	EPI_ISL_15151297
32	EPI_ISL_14574917
33	EPI_ISL_15002216
34	EPI_ISL_15027448
35	EPI_ISL_14826286
36	EPI_ISL_15193364
37	EPI_ISL_15203116
38	EPI_ISL_15081080
39	EPI_ISL_15092940
40	EPI_ISL_15090424
41	EPI_ISL_15098011
42	EPI_ISL_15161278
43	EPI_ISL_14632425
44	EPI_ISL_15176826
45	EPI_ISL_15180632
46	EPI_ISL_15138809
47	EPI_ISL_15100188
48	EPI_ISL_14975266
49	EPI_ISL_14974417
50	EPI_ISL_15180210
51	EPI_ISL_14994931
52	EPI_ISL_15019841
53	EPI_ISL_14675347
54	EPI_ISL_15114999
55	EPI_ISL_15081051
56	EPI_ISL_15154229
57	EPI_ISL_15083837
58	EPI_ISL_15070040
59	EPI_ISL_15145731
60	EPI_ISL_15114334
61	EPI_ISL_15141340
62	EPI_ISL_15179736
63	EPI_ISL_15203170
64	EPI_ISL_15154486
65	EPI_ISL_15194805
66	EPI_ISL_15199222
67	EPI_ISL_15154520
68	EPI_ISL_15194815
69	EPI_ISL_15105717
70	EPI_ISL_15115474
71	EPI_ISL_15095802
72	EPI_ISL_15136111
73	EPI_ISL_14913272
74	EPI_ISL_15192442
75	EPI_ISL_15147067
76	EPI_ISL_15125692
77	EPI_ISL_15177920
78	EPI_ISL_15170786
79	EPI_ISL_15085769
80	EPI_ISL_15070058
81	EPI_ISL_15090444
82	EPI_ISL_15149509
83	EPI_ISL_15138581
84	EPI_ISL_15138505
85	EPI_ISL_15185577
86	EPI_ISL_14912921
87	EPI_ISL_15089077
88	EPI_ISL_14955511
89	EPI_ISL_14969803
90	EPI_ISL_15086307
91	EPI_ISL_14777488
92	EPI_ISL_15027310
93	EPI_ISL_15106027
94	EPI_ISL_15176633
95	EPI_ISL_14983523
96	EPI_ISL_15000353
97	EPI_ISL_14898781
98	EPI_ISL_15102953
99	EPI_ISL_15103176
100	EPI_ISL_15180606
101	EPI_ISL_15175652
102	EPI_ISL_15145014
103	EPI_ISL_15109433
104	EPI_ISL_15163594
105	EPI_ISL_15090436
106	EPI_ISL_15029184
107	EPI_ISL_15180851
108	EPI_ISL_15155127
109	EPI_ISL_15129264
110	EPI_ISL_15178969
111	EPI_ISL_15019981
112	EPI_ISL_15129611
113	EPI_ISL_15103158
114	EPI_ISL_14914786
115	EPI_ISL_15070004
116	EPI_ISL_15204807
117	EPI_ISL_15100896
118	EPI_ISL_15107540
119	EPI_ISL_15055398
120	EPI_ISL_15159413
121	EPI_ISL_15105348
122	EPI_ISL_15183812
123	EPI_ISL_15061356
124	EPI_ISL_15015648
125	EPI_ISL_15176300
126	EPI_ISL_15132799
127	EPI_ISL_15120982
128	EPI_ISL_15064616
129	EPI_ISL_15180590
130	EPI_ISL_15145788
131	EPI_ISL_15158891
132	EPI_ISL_14914877
133	EPI_ISL_15097793
134	EPI_ISL_15097149
135	EPI_ISL_15170028
136	EPI_ISL_15026030
137	EPI_ISL_14697838
138	EPI_ISL_14929948
139	EPI_ISL_14822762
140	EPI_ISL_15012660
141	EPI_ISL_14980936
142	EPI_ISL_15051614
143	EPI_ISL_15184795
144	EPI_ISL_15078908
145	EPI_ISL_15070967
